S No,C1,C2
1879,Congratulation,Congratulation
1880,Achievement,Achievement
1881,Generic,Update
1882,Achievement,Achievement
1883,Update,Endorsement
1884,Congratulation,Congratulation
1885,Greetings,Greetings
1886,Generic,Generic
1887,Generic,Appeal
1888,Generic,Generic
1889,Generic,Generic
1890,Condolence,Tribute
1891,Condolence,Condolence
1892,Update,Update
1893,Appeal,Appeal
1894,Appeal,Appeal
1895,Generic,Generic
1896,Gratitude,Gratitude
1897,Generic,Update
1898,Generic,Generic
1899,Update,Update
1900,Update,Address
1901,Generic,Generic
1902,Address,Address
1903,Generic,Update
1904,Update,Update
1905,Endorsement,Update
1906,Endorsement,Gratitude
1907,Achievement,Achievement
1908,Generic,Generic
1909,Tribute,Generic
1910,Update,Appeal
1911,Appeal,Appeal
1912,Generic,Generic
1913,Endorsement,Generic
1914,Endorsement,Generic
1915,Generic,Generic
1916,Generic,Generic
1917,Gratitude,Gratitude
1918,Generic,Generic
1919,Generic,Generic
1920,Generic,Appeal
1921,Generic,Generic
1922,Political Confrontations,Political Confrontations
1923,Political Confrontations,Political Confrontations
1924,Political Confrontations,Political Confrontations
1925,Political Confrontations,Political Confrontations
1926,Political Confrontations,Political Confrontations
1927,Gratitude,Achievement
1928,Update,Achievement
1929,Update,Generic
1930,Update,Update
1931,Update,Update
1932,Appeal,Tribute
1933,Generic,Generic
1934,Greetings,Greetings
1935,Greetings,Greetings
1936,Generic,Address
1937,Generic,Generic
1938,Appeal,Appeal
1939,Generic,Generic
1940,Update,Update
1941,Update,Generic
1942,Update,Update
1943,Generic,Gratitude
1944,Generic,Generic
1945,Achievement,Achievement
1946,Update,Update
1947,Update,Update
1948,Update,Update
1949,Achievement,Achievement
1950,Achievement,Achievement
1951,Generic,Generic
1952,Achievement,Achievement
1953,Generic,Generic
1954,Achievement,Achievement
1955,Achievement,Achievement
1956,Achievement,Achievement
1957,Achievement,Achievement
1958,Generic,Generic
1959,Generic,Generic
1960,Generic,Generic
1961,Appeal,Appeal
1962,Update,Update
1963,Update,Update
1964,Address,Address
1965,Achievement,Achievement
1966,Endorsement,Endorsement
1967,Endorsement,Endorsement
1968,Endorsement,Update
1969,Update,Achievement
1970,Update,Achievement
1971,Update,Achievement
1972,Achievement,Achievement
1973,Achievement,Endorsement
1974,Achievement,Endorsement
1975,Update,Update
1976,Generic,Generic
1977,Generic,Generic
1978,Generic,Generic
1979,Generic,Generic
1980,Generic,Generic
1981,Generic,Generic
1982,Generic,Generic
1983,Generic,Generic
1984,Generic,Generic
1985,Generic,Generic
1986,Generic,Generic
1987,Generic,Congratulation
1988,Congratulation,Congratulation
1989,Greetings,Greetings
1990,Update,Address
1991,Update,Update
1992,Achievement,Achievement
1993,Update,Achievement
1994,Update,Update
1995,Endorsement,Update
1996,Generic,Generic
1997,Generic,Update
1998,Generic,Update
1999,Generic,Update
2000,Generic,Update
2001,Generic,Update
2002,Generic,Generic
2003,Generic,Generic
2004,Generic,Generic
2005,Appeal,Appeal
2006,Achievement,Achievement
2007,Achievement,Achievement
2008,Achievement,Achievement
2009,Political Confrontations,Political Confrontations
2010,Achievement,Achievement
2011,Achievement,Achievement
2012,Achievement,Achievement
2013,Political Confrontations,Political Confrontations
2014,Political Confrontations,Political Confrontations
2015,Political Confrontations,Political Confrontations
2016,Generic,Generic
2017,Political Confrontations,Political Confrontations
2018,Political Confrontations,Political Confrontations
2019,Political Confrontations,Update
2020,Political Confrontations,Political Confrontations
2021,Generic,Achievement
2022,Political Confrontations,Address
2023,Political Confrontations,Political Confrontations
2024,Generic,Political Confrontations
2025,Generic,Political Confrontations
2026,Generic,Generic
2027,Achievement,Achievement
2028,Achievement,Achievement
2029,Achievement,Achievement
2030,Political Confrontations,Political Confrontations
2031,Political Confrontations,Political Confrontations
2032,Political Confrontations,Political Confrontations
2033,Political Confrontations,Generic
2034,Political Confrontations,Political Confrontations
2035,Generic,Update
2036,Generic,Generic
2037,Appeal,Generic
2038,Generic,Generic
2039,Political Confrontations,
2040,Appeal,Appeal
2041,Address,Address
2042,Generic,Generic
2043,Generic,Generic
2044,Appeal,Appeal
2045,Generic,Generic
2046,Appeal,Appeal
2047,Generic,Generic
2048,Generic,Appeal
